name,shorter_name,level,category,impact,text,text_source,progress,progress_text,progress_source,button_text,icon_name
No Cooking with Gas,No Gas Cooking,1,buildings,1,"Some households are still cooking with gas. If everybody stopped cooking with gas, we could reduce annual emissions by {impact} megatons per year.",https://www.bafu.admin.ch/bafu/en/home/topics/climate/state/data/greenhouse-gas-inventory.html,95,{progress}% of households cooking without gas.,https://www.tagesanzeiger.ch/echte-koechinnen-und-koeche-geben-gas-stimmt-das-wirklich-127753186718,My home cooks without gas.,NoGas
No Heating with Oil,No Oil Heating,2,buildings,5,"In 2022, more than two thirds of Swiss homes were heated with heating oil (39%), gas (18%) or by burning wood (12%). If everybody stopped heating with fossil fuels, we could reduce annual emissions by {impact} megatons per year.",https://lenews.ch/2023/09/29/most-swiss-homes-heated-with-wood-or-fossil-fuel/,31,{progress}% of buildings are heated without burning fossil fuels.,https://www.swissinfo.ch/eng/business/some-58--of-swiss-buildings-heated-with-fossil-fuels/47958720,My home is heated without burning fossil fuels,NoOil
Minergie A Building,Minergie Building,3,buildings,8,"The Minergie building standard requires building to be energy neutral. Minergie buildings are well insulated and powered by renewable energy. If everybody would live in a Minergie home, we could reduce annual emissions by {impact} megatons per year.",https://www.bafu.admin.ch/bafu/en/home/topics/climate/state/data/greenhouse-gas-inventory.html,2,{progress}% of building have a Minergie certification,https://www.minergie.ch/de/themen/wissenswert/statistik/,I live in a Minergie home,GreenBuilding
Clean Electricity,Clean Power,1,electricity,0,"Switzerland's electricity production has one of the lowest carbon intensity in the world. Only 3% is from fossil fuels. Therefore most people consume clean electricity by default. If all electricity in Switzerland was clean, annual emissions would be {impact} megaton lower.  ",https://www.bafu.admin.ch/bafu/en/home/topics/climate/state/data/greenhouse-gas-inventory.html,97,"{progress}% of energy produced in Switzerland is clean. ",https://www.iea.org/countries/switzerland,I consume only clean electricity,CleanElectricity
Renewable Electricity,Renewable Power,2,electricity,0,"The difference between clean energy and renewable energy is that nuclear energy is considered clean but not renewable. This because GHG emissions from nuclear energy are minimal. Howevery, nuclear energy is finite i.e. not renewable. In terms of GHG emissions clean and renewable energy have the same impact. If all electricity in Switzerland was renewable, annual emissions would be {impact} megaton lower. ",https://www.bafu.admin.ch/bafu/en/home/topics/climate/state/data/greenhouse-gas-inventory.html,80,"{progress}% of energy produced in Switzerland is renewable. ",https://www.swissinfo.ch/eng/sci-tech/renewables-share-of-electricity-inches-up-in-switzerland/47876818,I consume only renewable elecricity,RenewableElectricity
Solar Pannels,Solar Pannels,3,electricity,1,"Even though almost all electricity produced in Switzerland is clean, the country imports some electricity from its neighbours. In 2021 there was a 4% net-import of electricity. The more people are willing to install solar pannels on their rooftop, the more electricity can ber produced within Switzerland and without carbon emissions. If twice as many people had solar panels on their rooftops, we could reduce imported emissions by another megation. ",https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-88012.html,11,{progress}% of residential buildings n have solar pannels installed,"https://www.pv-magazine.com/2023/06/26/switzerland-becomes-gigawatt-solar-market/#:~:text=By%20comparison%2C%20Switzerland%20deployed%20around,capacity%20is%20beyond%204.6%20GW.",Our building has solar pannels installed,SolarPanels
Vegetarian,Vegetarian,1,food,3,"If everybody in Switzerland followed a Vegetarian diet, annual emissions would be {impact} megatons lower. ",https://www.bafu.admin.ch/bafu/en/home/topics/climate/state/data/greenhouse-gas-inventory.html,5,{progress}% of people in Switzerland are Vegetarian,https://en.wikipedia.org/wiki/Vegetarianism_by_country,I'm a vegetarian,Vegetarian
No Beef & Diary,No Beef & Diary,2,food,4,"If everybody in Switzerland stopped eating beef and diary products, annual emissions would be {impact} megatons lower.

This is because cows are very bad for the climate because:

1) When cows digest grass they emmit methane, a greenhouse gas that is 25 times more potent than carbondioxide.

2) Cows produce large quantities of manure, which releases methane and nitrous oxide as it decomposes.

3) Cows requires large areas of land. This often leads to deforestation, which not only releases the carbon stored in trees but also reduces the planet's capacity to absorb CO2 from the atmosphere.

4)  Cows require significant amounts of water and feed, which in order to produce, process and transport contributes substantially to CO2 emissions.

If you stop eating cow products, you can significantly reduce emissions. In fact, eating no cow products has a bigger impact than being a vegetarian (who eats diary products).",https://www.bafu.admin.ch/bafu/en/home/topics/climate/state/data/greenhouse-gas-inventory.html,,Currently the number of people in Switzerland who do not eating beef and diary products is not tracke.,,I don't eat beef & diary products,NoCow
Vegan,Vegan,3,food,5,"If everybody in Switzerland followed a Vegan diet, annual emissions would be {impact} megatons lower. ",https://www.bafu.admin.ch/bafu/en/home/topics/climate/state/data/greenhouse-gas-inventory.html,1,{progress}% of people in Switzerland are Vegan,https://en.wikipedia.org/wiki/Vegetarianism_by_country,I am a Vegan,Vegan
Buy Local,Buy Local,1,import,5,"There is no other country in ther world that has as much imported emissions as Switzerland. Buying local would reduce emissions. However, most products such as cars are not produced in Switzerland but only abroad. Therefore buying local would only reduce {impact] megatons of emissions","https://www.myclimate.org/en/information/faq/faq-detail/who-produces-co2/#:~:text=Especially%20in%20Western%20countries%2C%20the,products%20and%20services%20from%20abroad.",37,"{progress}% of people in Switzerland prefer prefer local agricultural products. ",https://www.swissinfo.ch/eng/business/farming-_majority-prefer-swiss-meat-and-eggs-according-to-survey--/45368478,"I only buy local agricultural products. ",Local
