solution,title,source,url
No Cooking with Gas,Saving lives through clean cookstoves,TEDx,https://www.youtube.com/embed/J3Zsj4Lfs_o
No Cooking with Gas,Take Back Cooking: A Solution to Climate Change,TEDx,https://www.youtube.com/embed/scoikYF4ni0
No Cooking with Gas,Zero waste cooking,TEDx,https://www.youtube.com/embed/E5pi93CemD4
No Cooking with Gas,It's Time To Break Up With Our Gas Stoves,Climate Town,https://www.youtube.com/embed/hX2aZUav-54
No Cooking with Gas,A look at the environmental and health effects associated with gas stoves,PBS,https://www.youtube.com/embed/LgnIR18Te5Y
No Cooking with Gas,I Measured the Pollution From My Gas Stove. It Was Bad.,Distilled,https://www.youtube.com/embed/jEWP44eKIVw
No Cooking with Gas,The health risks from cooking with gas stoves,CNBC,https://www.youtube.com/embed/Vwtc3_6DRKM
No Cooking with Gas,Should You Worry About Your Gas Stove?,SciShow,https://www.youtube.com/embed/-3V7T4aMjZQ
Minergie A Building,What If Buildings Created Energy Instead of Consuming It?,TEDx,https://www.youtube.com/embed/oYsDNpi_qPQ
Minergie A Building,Buildings that Regenerate,TEDx,https://www.youtube.com/embed/NErS2mlaxHI
Minergie A Building,Smart cities,TEDx,https://www.youtube.com/embed/hT4ZsaZsEgc
Minergie A Building,Green buildings are more than brick and mortar,TEDx,https://www.youtube.com/embed/JEUShQ7r_tE
Minergie A Building,"Change our buildings, save our planet",TEDx,https://www.youtube.com/embed/4QRWf3Efm-k
Minergie A Building,Living Buildings for a Living Future,TEDx,https://www.youtube.com/embed/gSMecC6pcGo
No Heating with Oil,How community can heat a Winter City,TEDx,https://www.youtube.com/embed/zeuERYZ4qWo
No Heating with Oil,Growing Clean Energy in Common Ground,TEDx,https://www.youtube.com/embed/EpSQDW6d5lc
No Heating with Oil,"Climate change and renewable heat, engineering a solution ",TEDx,https://www.youtube.com/embed/ZBMRFQ00NKc
No Heating with Oil,Our energy system is broken - and this is how we fix it,TEDx,https://www.youtube.com/embed/LVtdZMNmx-8
No Heating with Oil,More homes using heat pumps,PBS,https://www.youtube.com/embed/RdzjrVwWz4o
No Heating with Oil,Heat Pumps Explained,The Engineering Mindset,https://www.youtube.com/embed/QykwWs3L1W8
No Heating with Oil,How Heat Pumps Work,RESOLVE,https://www.youtube.com/embed/yZzEgMgVAIY
Solar Pannels,How do solar panels work?,TEDx,https://www.youtube.com/embed/xKxrkht7CpY
Solar Pannels,Solar energy for everyone,TEDx,https://www.youtube.com/embed/L1dOAgfcZk8
Solar Pannels,Should you switch to solar?,TEDx,https://www.youtube.com/embed/dhiWSsKUWEg
Solar Pannels,The beautiful future of solar power,TEDx,https://www.youtube.com/embed/_lyP_2p5MJc
Solar Pannels,100% Renewable energy,TEDx,https://www.youtube.com/embed/QQodNgmfojc
Solar Pannels,Why Solar is the Modern Discovery of Fire?,TEDx,https://www.youtube.com/embed/O2BC-QxgrxI
Solar Pannels,The Future of Renewable Energy,TEDx,https://www.youtube.com/embed/IEWYLbQXg4U
Solar Pannels,The case for a new type of solar technology,TEDx,https://www.youtube.com/embed/t2yBBJKqpVg
Solar Pannels,Renewable energy: What's going on with the electrical grid?,TEDx,https://www.youtube.com/embed/0oo2CeEkn40
Clean Electricity,A Faster Way to Get to a Clean Energy Future,TEDx,https://www.youtube.com/embed/EAU5D8hqIUI
Clean Electricity,Accelerating the shift to clean energy,TEDx,https://www.youtube.com/embed/BSXk30p4f8Y
Clean Electricity,How rapidly can we move to 100% clean energy?,TEDx,https://www.youtube.com/embed/JGsKzHwhIi8
Clean Electricity,The Clean Energy Hub of the Future,TEDx,https://www.youtube.com/embed/g9VFlXF47f0
Clean Electricity,Can 100% renewable energy power the world?,TEDx,https://www.youtube.com/embed/RnvCbquYeIM
Clean Electricity,A Clean Energy Future,TEDx,https://www.youtube.com/embed/Y32dHSvOTdo
Clean Electricity,The Future of Energy,TEDx,https://www.youtube.com/embed/bB93E-C7OPo
Clean Electricity,Renewable Energy 101,National Geographic,https://www.youtube.com/embed/1kUE0BZtTRc
Renewable Electricity,How much land does it take to power the world?,TEDx,https://www.youtube.com/embed/DW0jTe80kmM
Renewable Electricity,Top 20 Country by Renewable Electricity Production,TEDx,https://www.youtube.com/embed/rugrDueew1Q
Renewable Electricity,The surprising key to a clean energy future,Bill Gates,https://www.youtube.com/embed/c7xlTRW8ZLA
Renewable Electricity,How Does the Power Grid Work?,Practical Engineering,https://www.youtube.com/embed/v1BMWczn7JM
Renewable Electricity,How to fix clean energy's storage problem,Vox,https://www.youtube.com/embed/z-k5uS7ALXk
Renewable Electricity,Who is leading in renewable energy?,CNBC,https://www.youtube.com/embed/fyqDC_AKVgE
Vegetarian,What If The World Went Vegetarian?,AsapSCIENCE,https://www.youtube.com/embed/ANUoAdXfA60
Vegetarian,A Beginner's Guide to Going Vegetarian,Edukale,https://www.youtube.com/embed/57cedvSULpo
Vegetarian,Re-Thinking Meat:,TEDx,https://www.youtube.com/embed/TFL3P89T1Hk
Vegetarian,Vegetarianism 102: How to be a Healthy Vegetarian,TEDx,https://www.youtube.com/embed/Aj0_2jOmWF0
Vegetarian,Why I'm a weekday vegetarian,TEDx,https://www.youtube.com/embed/aUJD3sGppUo
Vegetarian,Protein and the myth we're fed,TEDx,https://www.youtube.com/embed/toHVZ5W_CDA
Vegan,A Plant-based Diet Changed My Life,TEDx,https://www.youtube.com/embed/VzgMj3peKL0
Vegan,The Power of Plant-Based Eating,TEDx,https://www.youtube.com/embed/eZWzNfOpbCQ
Vegan,Every Argument Against Veganism,TEDx,https://www.youtube.com/embed/byTxzzztRBU
Vegan,A vegan bodybuilding experiment,TEDx,https://www.youtube.com/embed/yKX-gNv0AwU
Vegan,A Whole Food Plant Based Diet,TEDx,https://www.youtube.com/embed/eog1HnAanuA
Vegan,Veganism and my reasons why,TEDx,https://www.youtube.com/embed/JSLU-3qLv0I
Vegan,Why I'm A Vegan,TEDx,https://www.youtube.com/embed/6DgUb9w8mOY
No Beef & Diary,Why beef is the worst food for the climate,Vox,https://www.youtube.com/embed/3lrJYTsKdUM
No Beef & Diary,Cow farts and climate change,TRT World,https://www.youtube.com/embed/26qzmw_xG58
No Beef & Diary,How cattle impact climate change,CBS,https://www.youtube.com/embed/5yMzdDI0OBo
No Beef & Diary,"Fight Climate Change, Eat Less Meat",TDC,https://www.youtube.com/embed/lLhEmGx8YQE
No Beef & Diary,Call for urgent cuts in methane gas emissions to tackle global warming,BBC,https://www.youtube.com/embed/Kuh7OsNhdTQ
No Beef & Diary,Cow burps are a climate problem,Vox,https://www.youtube.com/embed/oRUjKZOhV6E
No Beef & Diary,Cow burps are a major contributor to climate change,PBS,https://www.youtube.com/embed/9ExxBIFVmKA
Offset Consumption,Carbon Offsets: with John Oliver,Last Week Tonight,https://www.youtube.com/embed/6p8zAbFKpW0
Offset Consumption,Saving lives through carbon offsetting:,TEDx,https://www.youtube.com/embed/whSAQnO0ZTM
Offset Consumption,The Carbon Market Opportunity |,Financial Times,https://www.youtube.com/embed/6cxalUYGU8g
Offset Consumption,Do carbon offsets even work?,Al Jazeera,https://www.youtube.com/embed/NXjd9Lm8BTk
Offset Consumption,"Can carbon offsetting help the planet? ",BBC,https://www.youtube.com/embed/b1xHUwszumw&t=11s
Offset Consumption,NET ZERO: Carbon Offsetting,Roundtable,https://www.youtube.com/embed/eD9pifaxTDA
Buy Local,"As the world gets bigger, we must buy local",TEDx,https://www.youtube.com/embed/k3lkZMj0xig
Buy Local,The impact of buying local food,TEDx,https://www.youtube.com/embed/pC8V78nCVg4
Buy Local,Why shop local,TEDx,https://www.youtube.com/embed/fnhJUeCQf-o
Buy Local,Buy Local,TEDx,https://www.youtube.com/embed/2MIyRp2lfo8
Buy Local,Logistics -- our local food blind spot,TEDx,https://www.youtube.com/embed/BDO_UiEh0eY
Buy Local,The Powerful Impact of Buying Local,TEDx,https://www.youtube.com/embed/GU7oiZud7co
Buy Local,How locally grown food can move beyond weekend farmers markets:,TEDx,https://www.youtube.com/embed/tsyaJkoSHGw
Reduce & Reuse,Reduce. Reuse. Rethink.,TEDx,https://www.youtube.com/embed/kufhML6cy4U
Reduce & Reuse,"The Tao of Reduce, Reuse, Recycle ",TEDx,https://www.youtube.com/embed/9f-Xj44Oo3c&t=9s
Reduce & Reuse,Reduce-Reuse-Recycle,TEDx,https://www.youtube.com/embed/lLdfDViyd5o
Reduce & Reuse,How to Make Sure Materials Get Reused,TEDx,https://www.youtube.com/embed/vvIP7vabO4c
Reduce & Reuse,"Reduce, Reuse, Rethink",TEDx,https://www.youtube.com/embed/yeEfJrw4m5w
Reduce & Reuse,"Reduce, Reuse, Rethink",CBC,https://www.youtube.com/embed/ARBqPuvYq0c
Reduce & Reuse,I Broke Up With Fast Fashion and You Should Too,TEDx,https://www.youtube.com/embed/mKPB0uW4cto
Buy only climate-neutral,100 companies produce most carbon emissions,Scripps News,https://www.youtube.com/embed/aPiCgb_B6Bs
Buy only climate-neutral,How companies are taking action on climate change,CDP,https://www.youtube.com/embed/BLZV74_qlQw
Buy only climate-neutral,Corporate Climate Action That Actually Matters,The Climate Group,https://www.youtube.com/embed/GPxv_2v7k-g
Buy only climate-neutral,How Corporations Are Taking the Lead in Tackling the Climate Crisis,TIME,https://www.youtube.com/embed/FCRJo8jC8JU
Buy only climate-neutral,How committed are companies worldwide to climate protection?,DW Nes,https://www.youtube.com/embed/2DFrd7zAQ4o
Buy only climate-neutral,Can Big Business Stop Climate Change?,AJ+,https://www.youtube.com/embed/5sqRWHzA0JU
Boycott Climate Offenders,The Biggest Climate Change Offenders,AJ+,https://www.youtube.com/embed/3E75Hu0V2rY
Boycott Climate Offenders,These 2 Companies Are the World's Worst Offenders,The Motley Fool,https://www.youtube.com/embed/FPRHYezczvI
Boycott Climate Offenders,I care about climate change - but my dad works in the oil industry',BBC,https://www.youtube.com/embed/4ll6Og28wU4
Boycott Climate Offenders,Can gas and oil companies change their ways?,BBC,https://www.youtube.com/embed/UxdY81rEoMU
Boycott Climate Offenders,Can carbon offsetting help the planet?,BBC,https://www.youtube.com/embed/b1xHUwszumw
Boycott Climate Offenders,What is carbon trading?,CNBC,https://www.youtube.com/embed/FQSaoPPe2F0
Buy only climate-friendly,Patagonia founder donates entire company to fight climate change,Good Morning America,https://www.youtube.com/embed/dRY473Wfv3M
Buy only climate-friendly,What corporations can do about climate change,TEDx,https://www.youtube.com/embed/kz82zB1Njww
Buy only climate-friendly,How can a company go carbon neutral?,Sustain Life,https://www.youtube.com/embed/8P5ET6Qh2bw
Buy only climate-friendly,xplaining Carbon Neutrality,ACCIONA,https://www.youtube.com/embed/9pPsso2acew
Buy only climate-friendly,What's the difference between net-zero and carbon neutral?,Sustain Life,https://www.youtube.com/embed/kY9XESNFrxI
Buy only climate-friendly,Introducing Climate Neutral Certified,Peak Design,https://www.youtube.com/embed/VfxlriMGxQ0
Follow Innovation,Bill Gates-Backed Carbon Capture Plant Does The Work Of 40 Million Trees,CNBC,https://www.youtube.com/embed/XHX9pmQ6m_s
Follow Innovation,"Green Hydrogen – A Galway Solution to a Global Crisis ",TEDx,https://www.youtube.com/embed/JjZyIr0O2Fo
Follow Innovation,Hydrogen: fuel of the future?,The Economist,https://www.youtube.com/embed/fkX-H24Chfw
Follow Innovation,A new way to remove CO2 from the atmosphere,TEDx,https://www.youtube.com/embed/XY_lzonfE3I
